schemaVersion,seedIndex,deterministicSeed,definitionId,workstationTag,recipeId,outputLineId,itemId,outputQuantity,batchMassGrams,topologySourceDigest,topologyStable,facilityAttributionExact,ownerRosterKey,observationId,batchCommitId,actionEpochDelta,actionStartDelta,haulStartDelta,clearanceMicroHours,clearanceMilliHours,telemetryCompletedCount,telemetryActiveCount,orphanPickupCount,conflictingPublicationCount,overPickupCount,capacityExceededCount,restoreInterruptionCount,telemetryClean,schedulerProvenanceExact,deliveryExact,randomStateDigest,randomDrawDelta,runSourceDigest,result
v27-production-output-clearance-natural-seed@2,20,157201,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157201,production-output-batch:production-bill:1:00000001:0de61f47c56439f62a943d22e0805f0205bf027863d6ba6a60a813942615e977,1,1,1,1638224,1639,1,0,0,0,0,0,0,true,true,true,93b5aeaa12a219b9ea19e6c907efcb14583974d6b0ebeaf50aabfd2d87bcc7d0,136,1a7fb93e92053fe46c41f5ad4e261438bac7d53abe882b0df880eb27816bb723,PASS
v27-production-output-clearance-natural-seed@2,21,157202,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157202,production-output-batch:production-bill:1:00000001:4493cd73c1720851cd75aad8ab4d14c57566a1b68ed95c7215da2952cc290c08,1,1,1,1768820,1769,1,0,0,0,0,0,0,true,true,true,255d9182874dc41855060ba447dc917485d6a9cef034273dc224558230c1b8ff,144,6cf1e8fddebd6e1f303cd303cfec86bdf6af3c34e83cdfb8cb593f1910f618e3,PASS
v27-production-output-clearance-natural-seed@2,22,157203,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157203,production-output-batch:production-bill:1:00000001:3f18a40284aefb9a1f3ff5c874a0e2c959d742ce636a0c991f9c74d2578307cf,1,1,1,1607560,1608,1,0,0,0,0,0,0,true,true,true,90176ce746a1228e71ba8a27e4f37256e55a9d71218115993c2ca758e3602521,158,f895c8d6e183f1cac3c3df63c031e15276922d35800aa63fbfe76f92f22f378b,PASS
v27-production-output-clearance-natural-seed@2,23,157204,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157204,production-output-batch:production-bill:1:00000001:c316f7a198ff8f22f3c2a8cb88e34e5cea12e7b3a26ca75da22b0889ea2fb954,1,1,1,1518035,1519,1,0,0,0,0,0,0,true,true,true,c97d61178ac109438bf14cc14a69088df3f018745d93a3e45e563847cfc27fc5,160,abbca13f440f2eaa08c6ae058c5072549cd862c1935e3e54f0c774bacfcd314c,PASS
v27-production-output-clearance-natural-seed@2,24,157205,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157205,production-output-batch:production-bill:1:00000001:7cc6f109ec57e870871f27886a66c3dd90127735b6892d894b8a5a509645c030,1,1,1,1705192,1706,1,0,0,0,0,0,0,true,true,true,185992d9db20f8833deaedf4e1bda4ccab6664a30b799be068019306ed493aea,159,bc90b7914922751a336b3ca32bd084c5af7f55cd5fbfca2bd30ffa4beb30c13f,PASS
v27-production-output-clearance-natural-seed@2,25,157206,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157206,production-output-batch:production-bill:1:00000001:7d115ce8f1272ba27f430221e38e67e49292d2e63f64bb260f55a766ba0cc5bd,1,1,1,1628952,1629,1,0,0,0,0,0,0,true,true,true,08d3d380b29f8e1e09fcf76b5b2e403c42a8e558c9605c313675e23de0292d3d,141,d2e33300ffeb8df72e37923ccec5dc03153b3061081140bc7f0842b5340aeff8,PASS
v27-production-output-clearance-natural-seed@2,26,157207,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157207,production-output-batch:production-bill:1:00000001:ca39576b106b61da4ce6b285140b90ea741730d2be152b7fa58f9d89531b0fcd,1,1,1,1577564,1578,1,0,0,0,0,0,0,true,true,true,007ed8bf1d8137183ad0499eff2d692f77e11fd9f2b8ef628dd15bd6cc9f4054,159,98e63bb248c1dabebd2e5c949e1b5c754cbd2c9dc708fb6eef2743a3c2abc70d,PASS
v27-production-output-clearance-natural-seed@2,27,157208,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157208,production-output-batch:production-bill:1:00000001:4e65addd15ded7dd0ca02822e09d77c0c07376d8f5a17d84adb21442efc6010d,1,1,1,1550099,1551,1,0,0,0,0,0,0,true,true,true,a6cff1ea66f5c6d49716371b6f8ebb4a3b47f727aba2221b14ff562631681fa4,144,7f42a023b97c168c7dc8fa009b4c6f5551989c414edc9d6bb6244d4dc7ad7496,PASS
v27-production-output-clearance-natural-seed@2,28,157209,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157209,production-output-batch:production-bill:1:00000001:f009b41fd3fec2f6edd55376364754a304fec7849c4da2b3880787b69d43906d,1,1,1,1595040,1596,1,0,0,0,0,0,0,true,true,true,24dc0cfe75e0ffc6f3541401fd5cb1265635323cc2f7fb4715250f66ee48bce2,178,bd47a51e1d9d3fd49dec26ac7bcabb4de4a9a9409e7899c87e3bcf8312b75afb,PASS
v27-production-output-clearance-natural-seed@2,29,157210,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157210,production-output-batch:production-bill:1:00000001:69f3a313f1d4a93b71014b63826b7babd3cbe8f5b94cf9b08caf75ebac9a6fb0,1,1,1,1629273,1630,1,0,0,0,0,0,0,true,true,true,c5e78051bd765fe2408a7fb1ec7bbb4b777395bccc18247e88e19e4c413949a6,150,9daaa58a3198dd69ec788445d001fb0eb397dc2bb3cb88dfc09c09aab55acb3f,PASS
v27-production-output-clearance-natural-seed@2,30,157211,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157211,production-output-batch:production-bill:1:00000001:fcfb266cccae21abca09492e186649040e7945cb39ce45df100f4a1066d7ae00,1,1,1,2012895,2013,1,0,0,0,0,0,0,true,true,true,7b4c120407d33dadf246e8119fd6b2c9a21bc645a2652aeb6e7416175722291b,146,444f5659f2873a34acc6cfca4798c44d7a91f6f1d904a97f439144a15fda8f1d,PASS
v27-production-output-clearance-natural-seed@2,31,157212,building:1089,workstation:feedbench,recipe:hay-feed,output:main,feed:hay,3,588,5357f9ad790b3d920c1252ea5e4db18d3d86c1f4737bc6867856fc362826706c,true,true,staff:01,output-clearance-observation:building:1089:workstation:feedbench:157212,production-output-batch:production-bill:1:00000001:7c5036f9ecb6c1233fdd220b762727e46beab3dee9bab7c6f43288d8d67f2b72,1,1,1,1686072,1687,1,0,0,0,0,0,0,true,true,true,397a461cf9a7baf97f7822976b5777fe89fb6d38cb1a6f5733dad0b0d066c006,156,dcb9dc8ee7e5e75b0a354d8a95746215c59ab07ef007c675ab72be5fdb737d01,PASS
