controlledEnvironment=22C/air100/light100 every5 game seconds through existing field persistence; original restored during cleanup; character exposure/needs simulation remains active
[PASS] actual preparation estimate=adult1/45WU/day/0.4day; actual enqueue; cap1/17WU unchanged
postCycleMetaMultiplier=1; pipeline=raw work rate -> completed cycle -> current participant contribution -> supplied durable research equipment -> meta research multiplier -> remaining project clamp
phase game=96.18674; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(27, 1)
phase game=96.85342; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(27, 1)
phase game=97.52008; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(28, 1)
phase game=98.18674; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(28, 1)
phase game=98.85342; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(29, 1)
phase game=99.52008; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(29, 1)
phase game=100.1867; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(30, 1)
phase game=100.8534; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(30, 1)
phase game=101.3798; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(31, 1)
phase game=102.0464; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(31, 1)
phase game=102.7131; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(32, 1)
phase game=103.3041; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(32, 1)
phase game=104.433; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(31, 1)
phase game=105.0997; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(31, 1)
phase game=107.7175; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(31, 2)
phase game=109.7175; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(33, 2)
phase game=110.202; kind=movement-observed; run=1; generic=0/0; action=Work (AIWork); cell=(34, 2)
phase game=111.5354; kind=no-work-increment/no-movement; run=1; generic=0/0; action=Work (AIWork); cell=(35, 2)
phase game=112.202; kind=work-cycle-boundary; run=1; generic=0.4538072/6; action=Work (AIWork); cell=(35, 2)
rateInputs game=112.202; performance=0.8455951; cumulativeTraceInvocationCount=2; roomDuration=1.026698; craftsmanship=Normal; contribution=1
phase game=112.8687; kind=observed-research-increment; run=1; generic=0.9072697/6; action=Work (AIWork); cell=(35, 2)
rateInputs game=117.515; performance=0.8404755; cumulativeTraceInvocationCount=18; roomDuration=1.026698; craftsmanship=Normal; contribution=1
